age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
low0,Private,low2,Masters,high4,Divorced,Exec-managerial,Unmarried,White,Female,low10,low11,40,United-States,<=50K,
low0,State-gov,low2,Assoc-voc,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Assoc-voc,high4,Never-married,Prof-specialty,Not-in-family,White,Male,low10,low11,43,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Exec-managerial,Wife,Other,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Prof-school,high4,Married-civ-spouse,Prof-specialty,Wife,White,Female,low10,low11,60,Honduras,>50K,
low0,Federal-gov,low2,Bachelors,high4,Divorced,Exec-managerial,Not-in-family,White,Male,low10,low11,55,United-States,>50K,
low0,Self-emp-inc,low2,HS-grad,high4,Divorced,Exec-managerial,Not-in-family,White,Male,low10,low11,60,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Tech-support,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,5th-6th,low4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low10,low11,40,Mexico,<=50K,
low0,Private,low2,Assoc-voc,high4,Married-civ-spouse,Other-service,Husband,White,Male,low10,low11,40,Puerto-Rico,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Adm-clerical,Husband,White,Male,low10,low11,48,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Transport-moving,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Doctorate,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,45,United-States,>50K,
low0,Private,low2,Some-college,high4,Divorced,Tech-support,Not-in-family,White,Male,low10,low11,58,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Divorced,Adm-clerical,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Adm-clerical,Wife,White,Female,low10,low11,40,United-States,>50K,
low0,Self-emp-inc,low2,Some-college,high4,Married-civ-spouse,Exec-managerial,Husband,White,Male,low10,low11,50,United-States,>50K,
low0,Private,low2,Some-college,high4,Never-married,Prof-specialty,Own-child,White,Male,low10,low11,32,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Separated,Sales,Own-child,Black,Female,low10,low11,40,United-States,<=50K,
low0,Self-emp-not-inc,low2,Bachelors,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,70,United-States,>50K,
low0,Private,low2,Some-college,high4,Never-married,Machine-op-inspct,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
high0,Private,low2,Some-college,high4,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,low10,low11,20,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Other-service,Own-child,White,Male,low10,low11,40,Mexico,<=50K,
low0,Private,low2,Assoc-acdm,high4,Married-civ-spouse,Adm-clerical,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,11th,low4,Never-married,Other-service,Own-child,White,Female,low10,low11,22,United-States,<=50K,
low0,Local-gov,low2,7th-8th,low4,Married-civ-spouse,Farming-fishing,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Sales,Not-in-family,White,Male,low10,low11,30,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Other-service,Husband,White,Male,low10,low11,40,Cuba,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Other-service,Wife,White,Female,low10,low11,40,United-States,<=50K,
high0,Private,low2,HS-grad,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,48,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Divorced,Craft-repair,Not-in-family,White,Female,low10,low11,40,United-States,>50K,
low0,Private,low2,HS-grad,high4,Divorced,Sales,Own-child,White,Female,low10,low11,35,United-States,<=50K,
low0,Local-gov,low2,HS-grad,high4,Married-civ-spouse,Protective-serv,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,Masters,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,50,United-States,<=50K,
low0,Private,low2,9th,low4,Never-married,Sales,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
low0,Federal-gov,low2,Doctorate,high4,Never-married,Prof-specialty,Not-in-family,White,Female,low10,low11,50,United-States,>50K,
high0,Private,low2,Assoc-voc,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Divorced,Craft-repair,Unmarried,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Divorced,Machine-op-inspct,Unmarried,Black,Female,low10,low11,25,United-States,<=50K,
low0,Local-gov,low2,Bachelors,high4,Married-civ-spouse,Protective-serv,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Local-gov,low2,Some-college,high4,Never-married,Handlers-cleaners,Not-in-family,White,Male,low10,low11,50,United-States,<=50K,
low0,Self-emp-not-inc,low2,Doctorate,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,60,United-States,>50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,48,United-States,>50K,
low0,Private,low2,Assoc-acdm,high4,Divorced,Exec-managerial,Unmarried,White,Female,low10,low11,40,England,<=50K,
low0,Federal-gov,low2,HS-grad,high4,Never-married,Other-service,Own-child,Black,Male,low10,low11,40,United-States,<=50K,
high0,Private,low2,Masters,high4,Married-civ-spouse,Exec-managerial,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Exec-managerial,Husband,White,Male,low10,low11,60,United-States,>50K,
low0,Self-emp-not-inc,low2,Masters,high4,Never-married,Prof-specialty,Not-in-family,White,Female,low10,low11,50,United-States,<=50K,
low0,Private,low2,Some-college,high4,Never-married,Tech-support,Own-child,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Craft-repair,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
low0,Self-emp-inc,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,11th,low4,Never-married,Handlers-cleaners,Own-child,White,Male,low10,low11,40,United-States,<=50K,
low0,Local-gov,low2,HS-grad,high4,Never-married,Adm-clerical,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Never-married,Sales,Other-relative,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Prof-school,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,40,United-States,>50K,
high0,Self-emp-not-inc,low2,HS-grad,high4,Married-civ-spouse,Other-service,Husband,White,Male,low10,low11,50,Canada,>50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Sales,Wife,White,Female,low10,low11,25,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Machine-op-inspct,Own-child,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,9th,low4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,low10,low11,50,United-States,<=50K,
high0,Self-emp-inc,low2,Some-college,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,50,United-States,<=50K,
low0,Local-gov,low2,Assoc-voc,high4,Married-civ-spouse,Craft-repair,Husband,Black,Male,low10,low11,40,United-States,>50K,
high0,Private,low2,Some-college,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,56,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Craft-repair,Not-in-family,White,Male,low10,low11,41,United-States,<=50K,
low0,Private,low2,Some-college,high4,Never-married,Other-service,Own-child,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Exec-managerial,Husband,White,Male,low10,low11,60,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Never-married,Exec-managerial,Own-child,Black,Male,low10,low11,40,Germany,<=50K,
low0,State-gov,low2,Bachelors,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,50,United-States,>50K,
low0,Private,low2,Some-college,high4,Never-married,Other-service,Own-child,Black,Male,low10,low11,35,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Exec-managerial,Wife,White,Female,low10,low11,40,United-States,>50K,
low0,Private,low2,Some-college,high4,Never-married,Adm-clerical,Own-child,White,Female,low10,low11,28,United-States,<=50K,
low0,Private,low2,Assoc-acdm,high4,Married-civ-spouse,Adm-clerical,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,Some-college,high4,Divorced,Craft-repair,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Assoc-acdm,high4,Never-married,Sales,Not-in-family,White,Female,low10,low11,60,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Other-service,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Self-emp-not-inc,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,35,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,50,United-States,<=50K,
low0,Private,low2,Assoc-acdm,high4,Divorced,Tech-support,Not-in-family,Black,Female,low10,low11,36,United-States,<=50K,
low0,Federal-gov,low2,Masters,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,40,Iran,>50K,
low0,Self-emp-not-inc,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,60,United-States,<=50K,
low0,Private,low2,Assoc-voc,high4,Married-civ-spouse,Adm-clerical,Wife,White,Female,low10,low11,35,United-States,<=50K,
low0,Private,low2,Some-college,high4,Never-married,Sales,Own-child,White,Male,low10,low11,20,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,low10,low11,40,United-States,>50K,
high0,Self-emp-inc,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Never-married,Sales,Own-child,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Never-married,Other-service,Own-child,White,Male,low10,low11,30,Mexico,<=50K,
low0,Private,low2,Assoc-voc,high4,Never-married,Prof-specialty,Not-in-family,White,Female,low10,low11,40,United-States,>50K,
high0,Private,low2,Some-college,high4,Never-married,Tech-support,Other-relative,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Transport-moving,Unmarried,Black,Female,low10,low11,30,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Other-service,Husband,White,Male,low10,low11,24,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Widowed,Other-service,Unmarried,White,Female,low10,low11,24,United-States,<=50K,
high0,Private,low2,11th,low4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,high11,40,United-States,<=50K,
low0,Local-gov,low2,Some-college,high4,Divorced,Adm-clerical,Unmarried,White,Female,low10,low11,38,Mexico,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Adm-clerical,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,low10,low11,40,Philippines,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Craft-repair,Own-child,White,Male,low10,low11,35,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,46,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Never-married,Handlers-cleaners,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
high0,Self-emp-not-inc,low2,Some-college,high4,Separated,Sales,Unmarried,Black,Male,low10,low11,2,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Divorced,Craft-repair,Not-in-family,White,Male,low10,low11,60,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Separated,Other-service,Other-relative,Black,Male,low10,low11,50,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Other-service,Unmarried,White,Female,low10,low11,40,United-States,<=50K,
low0,Self-emp-inc,low2,Masters,high4,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,low10,low11,40,England,<=50K,
low0,Self-emp-not-inc,low2,Masters,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,Some-college,high4,Divorced,Other-service,Unmarried,White,Female,low10,low11,40,Mexico,<=50K,
low0,Federal-gov,low2,Assoc-acdm,high4,Never-married,Exec-managerial,Not-in-family,White,Male,low10,low11,42,United-States,<=50K,
low0,State-gov,low2,Masters,high4,Widowed,Protective-serv,Unmarried,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,11th,low4,Never-married,Handlers-cleaners,Own-child,White,Male,low10,low11,16,United-States,<=50K,
high0,Local-gov,low2,Assoc-voc,high4,Widowed,Prof-specialty,Not-in-family,White,Female,low10,low11,20,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Other-service,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
low0,State-gov,low2,HS-grad,high4,Married-civ-spouse,Protective-serv,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,Bachelors,high4,Never-married,Craft-repair,Not-in-family,White,Male,low10,low11,50,United-States,<=50K,
low0,State-gov,low2,Bachelors,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,HS-grad,high4,Married-spouse-absent,Sales,Unmarried,White,Female,low10,low11,25,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Craft-repair,Own-child,Black,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Other-service,Own-child,White,Male,low10,low11,12,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,65,United-States,<=50K,
low0,Local-gov,low2,Some-college,high4,Married-civ-spouse,Exec-managerial,Husband,Black,Male,low10,low11,38,United-States,>50K,
low0,Private,low2,Some-college,high4,Divorced,Adm-clerical,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Never-married,Craft-repair,Not-in-family,Black,Male,low10,low11,45,United-States,<=50K,
low0,Private,low2,7th-8th,low4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low10,low11,40,Mexico,>50K,
low0,Federal-gov,low2,Some-college,high4,Married-civ-spouse,Adm-clerical,Husband,White,Male,low10,low11,42,United-States,>50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Adm-clerical,Husband,Black,Male,low10,low11,40,United-States,<=50K,
low0,Self-emp-not-inc,low2,Bachelors,high4,Divorced,Exec-managerial,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Masters,high4,Married-civ-spouse,Prof-specialty,Wife,White,Female,low10,low11,50,United-States,<=50K,
high0,State-gov,low2,Doctorate,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,1,United-States,>50K,
low0,Private,low2,Some-college,high4,Divorced,Machine-op-inspct,Not-in-family,Black,Female,low10,low11,28,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,Local-gov,low2,Bachelors,high4,Married-civ-spouse,Craft-repair,Husband,Black,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Tech-support,Husband,White,Male,low10,low11,45,United-States,<=50K,
low0,Federal-gov,low2,Bachelors,high4,Married-civ-spouse,Tech-support,Husband,White,Male,low10,low11,24,United-States,<=50K,
low0,Private,low2,5th-6th,low4,Married-civ-spouse,Transport-moving,Other-relative,White,Male,low10,low11,40,Mexico,<=50K,
low0,Private,low2,Some-college,high4,Divorced,Craft-repair,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
low0,Federal-gov,low2,Masters,high4,Never-married,Exec-managerial,Not-in-family,White,Female,low10,low11,55,United-States,>50K,
low0,Private,low2,Masters,high4,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,low10,low11,40,United-States,>50K,
low0,Self-emp-not-inc,low2,HS-grad,high4,Never-married,Sales,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Masters,high4,Never-married,Prof-specialty,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Exec-managerial,Husband,White,Male,low10,low11,50,United-States,>50K,
low0,Local-gov,low2,Some-college,high4,Never-married,Prof-specialty,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,State-gov,low2,HS-grad,high4,Divorced,Adm-clerical,Unmarried,White,Female,low10,low11,35,United-States,<=50K,
low0,Private,low2,11th,low4,Never-married,Sales,Own-child,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Other-service,Husband,Black,Male,low10,low11,36,United-States,>50K,
low0,Private,low2,HS-grad,high4,Divorced,Craft-repair,Not-in-family,White,Male,low10,low11,60,United-States,<=50K,
high0,Self-emp-inc,low2,HS-grad,high4,Married-civ-spouse,Sales,Wife,White,Female,low10,low11,35,United-States,>50K,
low0,Private,low2,11th,low4,Never-married,Sales,Own-child,White,Female,low10,low11,12,United-States,<=50K,
low0,Local-gov,low2,HS-grad,high4,Married-civ-spouse,Transport-moving,Husband,Black,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,Some-college,high4,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,low10,low11,40,United-States,<=50K,
high0,Private,low2,HS-grad,high4,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,low10,low11,40,United-States,<=50K,
low0,Self-emp-inc,low2,7th-8th,low4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,low10,low11,40,United-States,>50K,
low0,Private,low2,Bachelors,high4,Never-married,Exec-managerial,Not-in-family,Black,Male,low10,low11,60,United-States,>50K,
low0,Private,low2,Assoc-acdm,high4,Divorced,Sales,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Sales,Husband,White,Male,low10,low11,50,Poland,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Prof-specialty,Husband,White,Male,low10,low11,55,United-States,<=50K,
low0,Private,low2,10th,low4,Never-married,Craft-repair,Not-in-family,White,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,Some-college,high4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,low10,low11,40,United-States,<=50K,
high0,Private,low2,HS-grad,high4,Never-married,Other-service,Not-in-family,Black,Male,low10,high11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Married-civ-spouse,Adm-clerical,Husband,Black,Male,low10,low11,20,United-States,<=50K,
low0,Local-gov,low2,Preschool,low4,Never-married,Machine-op-inspct,Not-in-family,White,Female,low10,low11,35,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Never-married,Sales,Own-child,White,Female,low10,low11,40,United-States,<=50K,
high0,Self-emp-not-inc,low2,HS-grad,high4,Married-civ-spouse,Farming-fishing,Husband,White,Male,low10,low11,50,United-States,<=50K,
high0,Private,low2,Assoc-voc,high4,Widowed,Adm-clerical,Not-in-family,White,Female,low10,low11,20,Columbia,<=50K,
high0,Private,low2,HS-grad,high4,Divorced,Adm-clerical,Not-in-family,White,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,11th,low4,Separated,Transport-moving,Not-in-family,Black,Male,low10,low11,40,United-States,<=50K,
low0,Private,low2,HS-grad,high4,Divorced,Sales,Unmarried,Black,Female,low10,low11,38,United-States,<=50K,
low0,Private,low2,Some-college,high4,Never-married,Adm-clerical,Not-in-family,White,Male,low10,low11,42,United-States,<=50K,
low0,Private,low2,Some-college,high4,Divorced,Craft-repair,Other-relative,Other,Female,low10,low11,40,United-States,<=50K,
low0,Private,low2,Prof-school,high4,Never-married,Prof-specialty,Not-in-family,White,Male,low10,low11,55,United-States,>50K,
high0,State-gov,low2,HS-grad,high4,Married-civ-spouse,Other-service,Husband,White,Male,low10,low11,40,United-States,<=50K,
low0,State-gov,low2,Some-college,high4,Never-married,Adm-clerical,Not-in-family,White,Female,low10,low11,38,United-States,<=50K,
low0,Private,low2,Bachelors,high4,Married-civ-spouse,Exec-managerial,Husband,White,Male,low10,low11,50,Iran,>50K,
low0,Local-gov,low2,Masters,high4,Married-civ-spouse,Exec-managerial,Husband,White,Male,low10,low11,70,United-States,>50K,
low0,Private,low2,HS-grad,high4,Never-married,Transport-moving,Own-child,White,Male,low10,low11,40,United-States,<=50K,
